[week1] 鏈嶅姟宸插惎鍔? http://127.0.0.1:8000
[week1] 鏁版嵁搴? D:\aijiaohu\week1\data\readings.db
[week1] 鏈洿鏂伴槇鍊? 5.0 绉?
[week1] 鎽勫儚澶翠腑杞? http://127.0.0.1:8000/api/camera锛堟棤闇€鐭ラ亾鏉垮瓙 IP锛?
[week1] Ctrl+C 鍋滄
python.exe : 127.0.0.1 - - [14/Sep/2026 16:34:00] "GET /api/camera/status?nocache=1789374838685 HTTP/1.1" 200 -
所在位置 行:449 字符: 1
+ & "C:\Users\user\.workbuddy\binaries\python\versions\3.13.12\python.e ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (127.0.0.1 - - [...HTTP/1.1" 200 -:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
127.0.0.1 - - [14/Sep/2026 16:34:07] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:07] "GET /api/camera/status?nocache=1789374847762 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:07] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:07] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:08] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:08] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:08] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:08] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:08] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:09] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:09] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:09] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:09] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:09] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:10] "GET /api/camera/status?nocache=1789374850689 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:10] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:10] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:10] "GET /api/camera/status?nocache=1789374850768 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:10] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:10] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:11] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:11] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:11] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:11] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:11] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:12] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:12] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:12] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:12] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:12] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:13] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:13] "GET /api/camera/status?nocache=1789374853676 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:13] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:13] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:13] "GET /api/camera/status?nocache=1789374853771 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:13] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:13] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:14] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:14] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:14] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:14] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:14] "GET /api/history?limit=60 HTTP/1.1" 200 -
