[week1] 鏈嶅姟宸插惎鍔? http://127.0.0.1:8000
[week1] 鏁版嵁搴? D:\aijiaohu\week1\data\readings.db
[week1] 鏈洿鏂伴槇鍊? 5.0 绉?
[week1] 璁板綍涓婇檺: 200000 鏉★紙瓒呭嚭鑷姩鍒犻櫎鏈€鏃╃殑锛?
[week1] 鎽勫儚澶翠腑杞? http://127.0.0.1:8000/api/camera锛堟棤闇€鐭ラ亾鏉垮瓙 IP锛?
[week1] Ctrl+C 鍋滄
python.exe : 127.0.0.1 - - [14/Sep/2026 16:43:36] "GET /api/latest HTTP/1.1" 200 -
所在位置 行:449 字符: 1
+ & "C:\Users\user\.workbuddy\binaries\python\versions\3.13.12\python.e ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (127.0.0.1 - - [...HTTP/1.1" 200 -:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
127.0.0.1 - - [14/Sep/2026 16:43:44] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:44] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:44] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:45] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:45] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:45] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:45] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:45] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:46] "GET /api/camera/status?nocache=1789375426136 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:46] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:46] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:46] "GET /api/camera/status?nocache=1789375426588 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:46] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:46] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:46] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:47] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:47] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:47] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:47] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:48] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:48] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:48] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:48] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:48] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:48] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:49] "GET /api/camera/status?nocache=1789375429138 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:49] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:49] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:49] "GET /api/camera/status?nocache=1789375429595 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:49] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:49] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:49] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:50] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:50] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:50] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:50] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:51] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:51] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:51] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:51] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:51] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:52] "GET /api/camera/status?nocache=1789375432127 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:52] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:52] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:52] "GET /api/camera/status?nocache=1789375432584 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:52] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:52] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:52] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:53] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:53] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:53] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:53] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:53] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:54] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:54] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:54] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:54] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:43:55] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:55] "GET /api/camera/status?nocache=1789375435136 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:55] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:55] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:55] "GET /api/camera/status?nocache=1789375435591 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:43:55] "GET /api/latest HTTP/1.1" 200 -
