[week1] 鏈嶅姟宸插惎鍔? http://127.0.0.1:8000
[week1] 鏁版嵁搴? D:\aijiaohu\week1\data\readings.db
[week1] 鏈洿鏂伴槇鍊? 5.0 绉?
[week1] 鎽勫儚澶翠腑杞? http://127.0.0.1:8000/api/camera锛堟棤闇€鐭ラ亾鏉垮瓙 IP锛?
[week1] Ctrl+C 鍋滄
python.exe : 127.0.0.1 - - [14/Sep/2026 14:59:00] "GET /api/latest HTTP/1.1" 200 -
所在位置 行:449 字符: 1
+ & "C:\Users\user\.workbuddy\binaries\python\versions\3.13.12\python.e ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (127.0.0.1 - - [...HTTP/1.1" 200 -:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
127.0.0.1 - - [14/Sep/2026 14:59:00] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:00] "GET /api/latest HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:00] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:00] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:01] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:01] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:01] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:02] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:02] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:02] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:03] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:03] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:04] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:04] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:04] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:05] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:05] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:05] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:06] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:06] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:06] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:07] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:07] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:07] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:08] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:08] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:08] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:09] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:09] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:09] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:10] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:10] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:10] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:11] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:11] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:12] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:12] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:12] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:13] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:13] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:13] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:14] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:14] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:14] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:15] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:15] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:15] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:16] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:16] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:16] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:17] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:17] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:17] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:18] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:18] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:18] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:19] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:19] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:19] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:20] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:20] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:20] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:21] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:21] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:21] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:22] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:22] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:22] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:23] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:23] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:23] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:24] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:24] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:25] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:25] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:25] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:26] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:26] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:26] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:27] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:27] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:27] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:28] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:28] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:28] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:29] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:29] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 14:59:29] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:30] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:30] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 14:59:31] "GET /api/latest HTTP/1.1" 200 -
